,vendor,rank,verifcation,since,transactions,feedback_total,feedback_positive,feedback_negative,disputes_total,disputes_won,disputes_lost,finalize_early
212,MonPham,Rank 1,,"Feb 11, 2021",86,28,96.43% (27),3.57% (1),3,0% (0),0% (0),Not Available
213,Mont-Blanc,Rank 0,,"Mar 3, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
214,MrColes,Rank 6,Verification Level 1,"Mar 25, 2020",597,359,99.44% (357),0.28% (1),6,0% (0),16.67% (1),Available (can require)
215,MrGrumpy,Rank 2,Verification Level 4,"Feb 24, 2020",191,88,96.59% (85),2.27% (2),2,0% (0),100% (2),Not Available
216,MrImpossible,Rank 0,,"Sep 18, 2020",12,6,100% (6),0% (0),0,0% (0),0% (0),Not Available
217,MrM420,Rank 0,Verification Level 6,"May 3, 2020",3,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
218,MrMaserati,Rank 1,Verification Level 10,"Aug 26, 2020",105,44,100% (44),0% (0),0,0% (0),0% (0),Available (can require)
219,MrMischief,Rank 2,,"Dec 5, 2020",151,83,98.80% (82),0% (0),4,0% (0),0% (0),Not Available
220,MrMonopolyMaker,Rank 2,,"Nov 6, 2020",137,31,90.32% (28),3.23% (1),12,8.33% (1),108.33% (13),Not Available
221,MrScruff2019,Rank 1,Verification Level 4,"Oct 14, 2020",95,51,98.04% (50),1.96% (1),1,0% (0),0% (0),Not Available
222,MrTerryTibbs,Rank 0,,"Nov 24, 2020",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
223,MushyMania,Rank 1,Verification Level 3,"Jul 3, 2020",23,9,88.89% (8),11.11% (1),0,0% (0),0% (0),Not Available
224,MycoGrade,Rank 1,,"Jan 19, 2021",28,12,83.33% (10),8.33% (1),1,0% (0),100% (1),Not Available
225,NARCOTICSDIRECT,Rank 1,Verification Level 6,"Sep 11, 2020",102,59,93.22% (55),1.69% (1),2,0% (0),0% (0),Available (can require)
226,NarcoGuerrilla,Rank 0,Verification Level 4,"Aug 27, 2020",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
227,NarcoTraficante,Rank 1,,"Nov 15, 2020",107,49,95.92% (47),0% (0),1,0% (0),0% (0),Not Available
228,NarcoticsWorldwide,Rank 2,Verification Level 1,"Jan 21, 2021",197,93,96.77% (90),2.15% (2),2,0% (0),0% (0),Not Available
229,NewAmsterdam,Rank 0,,"Jan 26, 2021",10,3,100% (3),0% (0),1,0% (0),0% (0),Not Available
230,NextGeneration,Rank 0,Verification Level 19,"Nov 16, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Available (can require)
231,NextLevel,Rank 9,Verification Level 2,"Feb 28, 2020",1222,351,85.47% (300),8.83% (31),54,20.37% (11),1.85% (1),Available (only optional)
232,NightlifeKings,Rank 3,Verification Level 9,"Sep 14, 2020",410,168,95.24% (160),0.60% (1),7,28.57% (2),0% (0),Available (only optional)
233,Northgrower,Rank 0,Verification Level 2,"Aug 30, 2020",1,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
234,NotCal2020,Rank 1,Verification Level 1,"Sep 21, 2020",73,42,97.62% (41),0% (0),0,0% (0),0% (0),Not Available
235,ONEMILLION,Rank 4,Verification Level 1,"Jul 11, 2020",420,191,98.95% (189),0% (0),7,57.14% (4),0% (0),Available (can require)
236,OZVIBES,Rank 0,Verification Level 1,"Feb 17, 2021",6,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
237,Obststand,Rank 1,Verification Level 6,"Jan 13, 2021",52,22,100% (22),0% (0),0,0% (0),0% (0),Available (can require)
238,OpiateClinic,Rank 1,,"Oct 31, 2020",118,41,87.80% (36),7.32% (3),7,14.29% (1),71.43% (5),Not Available
239,OrganicValley,Rank 1,Verification Level 6,"Aug 27, 2020",93,25,92% (23),4% (1),0,0% (0),0% (0),Available (only optional)
240,OriginalGerMeds,Rank 0,Verification Level 3,"Sep 17, 2020",16,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
241,OxyPlace,Rank 1,,"Sep 25, 2020",41,19,100% (19),0% (0),0,0% (0),0% (0),Not Available
242,OzLotto,Rank 1,Verification Level 5,"Jan 11, 2021",55,33,90.91% (30),6.06% (2),0,0% (0),0% (0),Available (only optional)
243,PSteroids,Rank 2,Verification Level 8,"Sep 12, 2020",175,43,97.67% (42),0% (0),3,0% (0),0% (0),Available (can require)
244,Packosoxyz,Rank 1,,"Jan 17, 2021",72,32,96.87% (31),3.12% (1),1,0% (0),0% (0),Not Available
245,Pacman,Rank 1,Verification Level 2,"Sep 12, 2020",31,17,100% (17),0% (0),1,0% (0),0% (0),Not Available
246,Padre,Rank 0,,"Dec 27, 2020",14,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
247,PartyKingz,Rank 3,Verification Level 9,"Aug 26, 2020",426,172,98.84% (170),0.58% (1),3,0% (0),33.33% (1),Not Available
248,PaulWalker1973,Rank 0,Verification Level 1,"Nov 24, 2020",3,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
249,Pegasus,Rank 3,Verification Level 4,"Mar 31, 2020",271,49,77.55% (38),10.20% (5),6,16.67% (1),83.33% (5),Not Available
250,PengBudsUK,Rank 1,Verification Level 1,"Oct 15, 2020",157,45,93.33% (42),6.67% (3),4,75% (3),0% (0),Not Available
251,PenileFractures,Rank 1,Verification Level 7,"Mar 24, 2020",81,35,100% (35),0% (0),0,0% (0),0% (0),Available (can require)
252,PerfectShrooms,Rank 3,Verification Level 11,"Aug 26, 2020",250,123,98.37% (121),0% (0),0,0% (0),0% (0),Available (only optional)
253,PharmaBay,Rank 0,Verification Level 3,"Aug 27, 2020",6,5,100% (5),0% (0),0,0% (0),0% (0),Not Available
254,PharmaUK,Rank 2,,"Aug 27, 2020",185,112,98.21% (110),0% (0),0,0% (0),0% (0),Not Available
255,PharmaWorldUK,Rank 1,,"Dec 14, 2020",96,40,87.50% (35),10% (4),7,0% (0),28.57% (2),Not Available
256,Pharmacist,Rank 0,,"Jan 20, 2021",9,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
257,PianoKeyz,Rank 1,,"Feb 11, 2021",24,13,100% (13),0% (0),0,0% (0),0% (0),Not Available
258,Picasso,Rank 4,,"Oct 14, 2020",448,236,98.31% (232),0% (0),6,0% (0),66.67% (4),Not Available
259,PilotElon,TOP,Verification Level 3,"Mar 20, 2020",3422,925,91.68% (848),4.22% (39),85,20% (17),67.06% (57),Not Available
260,Pirata,Rank 0,,"Nov 14, 2020",6,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
261,PitStopUK,Rank 1,,"Jan 16, 2021",86,38,68.42% (26),18.42% (7),8,37.50% (3),25% (2),Not Available
262,PlanetHollywood,Rank 0,Verification Level 4,"Feb 9, 2021",21,5,80% (4),20% (1),0,0% (0),0% (0),Available (only optional)
263,PostNL,Rank 1,Verification Level 6,"Oct 6, 2020",31,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
264,PowerPlant,Rank 1,Verification Level 1,"Dec 1, 2020",17,6,100% (6),0% (0),0,0% (0),0% (0),Not Available
265,Powermix,Rank 1,Verification Level 1,"Jan 22, 2021",51,30,100% (30),0% (0),2,0% (0),50% (1),Not Available
266,PremierLeague,Rank 1,Verification Level 2,"Feb 20, 2021",46,22,90.91% (20),4.55% (1),1,0% (0),0% (0),Not Available
267,ProfessorsEmporium,Rank 0,Verification Level 3,"Feb 19, 2020",4,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
268,Pushar,Rank 0,Verification Level 6,"Feb 1, 2021",3,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
269,Pygmalion,Rank 4,Verification Level 8,"Oct 6, 2020",521,160,85.62% (137),8.75% (14),27,7.41% (2),0% (0),Available (can require)
270,QUICKDRUGSUK,Rank 1,,"Nov 19, 2020",27,12,91.67% (11),0% (0),0,0% (0),0% (0),Not Available
271,RS7,Rank 5,Verification Level 3,"Oct 5, 2020",547,257,84.82% (218),8.17% (21),38,13.16% (5),23.68% (9),Not Available
272,RUBBERBANDS,Rank 1,,"Oct 17, 2020",99,39,89.74% (35),5.13% (2),5,20% (1),20% (1),Not Available
273,RXChemist,Rank 2,Verification Level 3,"Aug 28, 2020",248,87,86.21% (75),9.20% (8),16,18.75% (3),12.50% (2),Available (can require)
274,RealNarcotiks3,Rank 1,,"Jan 19, 2021",15,7,100% (7),0% (0),0,0% (0),0% (0),Not Available
275,Remedyplus,Rank 1,Verification Level 4,"Oct 31, 2020",117,22,86.36% (19),13.64% (3),2,0% (0),100% (2),Not Available
276,RestorePrivacy,Rank 0,,"Jan 27, 2021",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
277,RoadTraveler,Rank 1,,"Dec 18, 2020",90,28,96.43% (27),3.57% (1),1,0% (0),100% (1),Not Available
278,Robkam123,Rank 0,,"Feb 4, 2021",2,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
279,RockStarPIILSNL,Rank 0,,"Oct 16, 2020",6,2,50% (1),50% (1),0,0% (0),0% (0),Not Available
280,Rolafmaxs,Rank 1,,"Oct 30, 2020",35,12,91.67% (11),8.33% (1),0,0% (0),0% (0),Not Available
281,RoleXx17,Rank 1,Verification Level 1,"Feb 9, 2021",33,8,87.50% (7),0% (0),3,0% (0),33.33% (1),Not Available
282,RoyalMailer,Rank 4,Verification Level 4,"Aug 11, 2020",475,182,82.42% (150),12.09% (22),32,12.50% (4),50% (16),Not Available
283,RxSubDepot,Rank 1,Verification Level 1,"Jan 28, 2021",26,10,90% (9),10% (1),1,0% (0),0% (0),Not Available
284,SATAII,Rank 2,Verification Level 6,"Aug 26, 2020",311,109,93.58% (102),3.67% (4),6,83.33% (5),0% (0),Not Available
285,SMACKERS,Rank 5,Verification Level 3,"Aug 27, 2020",459,247,90.28% (223),5.67% (14),17,0% (0),23.53% (4),Not Available
286,SacredMedicine,Rank 0,Verification Level 2,"Feb 8, 2021",11,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
287,Schneider,Rank 4,Verification Level 2,"Aug 25, 2020",368,243,99.18% (241),0.82% (2),1,0% (0),100% (1),Available (can require)
288,ScotchAndCoca,Rank 0,,"Feb 1, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
289,SecretService,Rank 1,Verification Level 3,"Jan 2, 2021",84,42,100% (42),0% (0),0,0% (0),0% (0),Not Available
290,SharkTank,Rank 0,,"Jan 9, 2021",5,4,75% (3),0% (0),0,0% (0),0% (0),Not Available
291,ShinyFlakez,Rank 3,Verification Level 4,"Nov 7, 2020",353,104,77.88% (81),14.42% (15),42,4.76% (2),38.10% (16),Not Available
292,ShroomKingUK,Rank 1,Verification Level 2,"Oct 14, 2020",26,10,100% (10),0% (0),1,0% (0),0% (0),Not Available
293,ShroomTown,Rank 1,Verification Level 10,"Aug 4, 2020",72,30,100% (30),0% (0),1,0% (0),0% (0),Available (only optional)
294,ShulginAlex,Rank 0,Verification Level 5,"Aug 30, 2020",31,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
295,SmartStore,Rank 2,Verification Level 3,"Nov 16, 2020",184,59,94.92% (56),5.08% (3),4,25% (1),25% (1),Not Available
296,SmokeBackwood,Rank 0,Verification Level 3,"Jan 4, 2021",12,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
297,Smurf-house,Rank 1,,"Feb 13, 2021",26,12,100% (12),0% (0),0,0% (0),0% (0),Not Available
298,Smurfen,Rank 0,Verification Level 1,"Jan 17, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
299,SpacePope,Rank 6,Verification Level 2,"Oct 15, 2020",637,389,95.37% (371),3.60% (14),6,16.67% (1),0% (0),Not Available
300,SpeedFreek,Rank 1,,"Nov 9, 2020",59,17,76.47% (13),23.53% (4),4,0% (0),75% (3),Not Available
301,SteroidWarehouse,Rank 3,Verification Level 15,"Aug 29, 2020",279,103,99.03% (102),0% (0),4,100% (4),0% (0),Available (can require)
302,StrainPirate,TOP,Verification Level 8,"Sep 1, 2020",1649,825,94.67% (781),3.88% (32),24,4.17% (1),0% (0),Available (can require)
303,StrangeLife,Rank 1,Verification Level 6,"Jan 18, 2021",28,13,92.31% (12),0% (0),0,0% (0),0% (0),Not Available
304,StreetLegend,Rank 0,Verification Level 1,"Feb 17, 2021",6,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
305,Streetpharmacy2,Rank 0,,"Mar 1, 2021",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
306,Subdoxone,Rank 0,,"Feb 18, 2021",4,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
307,SunshineShop,Rank 2,Verification Level 10,"Jul 2, 2020",208,97,93.81% (91),2.06% (2),8,25% (2),0% (0),Available (can require)
308,Suriv01,Rank 1,Verification Level 2,"Mar 6, 2020",41,18,83.33% (15),11.11% (2),6,16.67% (1),33.33% (2),Not Available
309,SvenskaVaror,Rank 1,,"Nov 17, 2020",34,12,66.67% (8),33.33% (4),1,0% (0),0% (0),Not Available
310,SweetGreenUK,Rank 1,Verification Level 15,"Aug 25, 2020",21,16,100% (16),0% (0),0,0% (0),0% (0),Available (can require)
311,Swipper,TOP,Verification Level 3,"Sep 12, 2020",1571,390,83.59% (326),8.97% (35),73,50.68% (37),34.25% (25),Not Available
312,Syndikat,Rank 2,,"Oct 28, 2020",160,90,95.56% (86),2.22% (2),11,18.18% (2),27.27% (3),Not Available
313,TCS13579,Rank 1,Verification Level 3,"Oct 18, 2020",81,40,95% (38),5% (2),2,0% (0),0% (0),Not Available
314,THEJ0KER,Rank 0,,"Feb 16, 2021",6,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
315,THEPOSTMAN,Rank 1,Verification Level 6,"Sep 10, 2020",52,26,100% (26),0% (0),1,0% (0),0% (0),Not Available
316,TOMOROWLAND,Rank 1,Verification Level 1,"Jan 15, 2021",112,50,96% (48),4% (2),7,0% (0),14.29% (1),Not Available
317,Tee3,Rank 0,Verification Level 2,"Oct 21, 2020",6,3,66.67% (2),0% (0),0,0% (0),0% (0),Not Available
318,TetriS,Rank 1,Verification Level 4,"Sep 29, 2020",16,10,100% (10),0% (0),0,0% (0),0% (0),Not Available
319,TheBodyShop,Rank 2,Verification Level 7,"Aug 27, 2020",240,98,94.90% (93),1.02% (1),7,28.57% (2),14.29% (1),Not Available
320,TheCakeShop,Rank 1,Verification Level 3,"Oct 21, 2020",104,64,96.87% (62),1.56% (1),4,50% (2),0% (0),Not Available
321,TheDoctor,Rank 0,Verification Level 4,"Jan 21, 2021",12,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
322,TheIcePrincess,Rank 1,,"Dec 30, 2020",36,22,100% (22),0% (0),0,0% (0),0% (0),Not Available
323,TheOxyMen,Rank 0,Verification Level 7,"Mar 9, 2020",16,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
324,ThePartyShop,Rank 1,Verification Level 3,"Oct 1, 2020",14,9,100% (9),0% (0),0,0% (0),0% (0),Not Available
325,ThePlugUtopia,Rank 1,Verification Level 1,"Feb 6, 2021",103,27,100% (27),0% (0),2,0% (0),0% (0),Not Available
326,ThePowerCartel,Rank 1,Verification Level 3,"Sep 22, 2020",103,31,96.77% (30),3.23% (1),3,0% (0),66.67% (2),Not Available
327,TheRxPharma,Rank 0,,"Feb 23, 2021",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
328,TheStudentShop,Rank 0,Verification Level 2,"Apr 28, 2020",48,3,66.67% (2),0% (0),5,0% (0),80% (4),Not Available
329,TheWhiteRose,Rank 1,,"Jan 17, 2021",10,8,100% (8),0% (0),0,0% (0),0% (0),Not Available
330,TheWizzardNL,Rank 0,Verification Level 13,"Dec 25, 2020",9,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
331,ThisIsTheWhy,Rank 0,Verification Level 6,"Feb 8, 2021",4,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
332,ThreeKings,Rank 1,Verification Level 9,"Aug 27, 2020",33,5,100% (5),0% (0),2,0% (0),0% (0),Available (can require)
333,TieAndSuit,Rank 0,,"Feb 13, 2021",2,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
334,Tollense,Rank 2,,"Sep 8, 2020",154,75,94.67% (71),2.67% (2),3,66.67% (2),33.33% (1),Not Available
335,TonysDrugsStore,Rank 1,Verification Level 8,"Jan 7, 2021",29,12,100% (12),0% (0),2,0% (0),0% (0),Available (only optional)
336,Trapgod,Rank 1,Verification Level 2,"Feb 1, 2021",16,10,100% (10),0% (0),0,0% (0),0% (0),Not Available
337,TripWithScience,Rank 2,Verification Level 19,"Aug 26, 2020",174,67,95.52% (64),2.99% (2),2,0% (0),0% (0),Available (can require)
338,Tripping_Space,Rank 0,,"Oct 16, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
339,Tripwirewiki2,TOP,Verification Level 6,"Sep 8, 2020",2341,1494,99.26% (1483),0.47% (7),5,20% (1),20% (1),Available (only optional)
340,Truesmokers,Rank 1,,"Dec 15, 2020",24,9,77.78% (7),11.11% (1),1,0% (0),0% (0),Not Available
341,TulipNL,Rank 1,Verification Level 3,"Jan 17, 2021",19,2,50% (1),50% (1),2,0% (0),0% (0),Not Available
342,UK-SD-COKE,Rank 0,,"Nov 9, 2020",4,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
343,UKCARTEL,Rank 1,,"Oct 15, 2020",45,28,92.86% (26),3.57% (1),0,0% (0),0% (0),Not Available
344,UKDRUGSERVICE,Rank 0,,"Aug 29, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
345,UKMeds4all,Rank 2,Verification Level 15,"Jul 20, 2020",219,117,94.02% (110),1.71% (2),1,0% (0),0% (0),Available (can require)
346,UKgradeAproducts,Rank 4,,"Aug 27, 2020",399,170,95.29% (162),2.94% (5),8,0% (0),0% (0),Not Available
347,Urban_Alchemist,Rank 0,Verification Level 1,"Jan 11, 2021",5,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
348,VanGoghDrugs,Rank 0,,"Jan 6, 2021",4,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
349,Venture,Rank 0,,"Feb 17, 2021",5,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
350,ViZioN,Rank 0,,"Dec 28, 2020",3,2,50% (1),0% (0),0,0% (0),0% (0),Not Available
351,WVANORANJE,Rank 1,Verification Level 1,"Nov 30, 2020",28,9,66.67% (6),22.22% (2),1,0% (0),100% (1),Not Available
352,WasntMe,Rank 0,Verification Level 2,"Mar 9, 2020",1,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
353,WeedHunter1312,Rank 1,,"Feb 15, 2021",31,19,100% (19),0% (0),1,0% (0),0% (0),Not Available
354,WeedPhantom,Rank 2,Verification Level 3,"Oct 19, 2020",163,95,98.95% (94),1.05% (1),1,0% (0),100% (1),Not Available
355,WeedShopBio,Rank 1,,"Nov 28, 2020",54,26,92.31% (24),7.69% (2),0,0% (0),0% (0),Not Available
356,WeedShopHulk,Rank 2,Verification Level 2,"Apr 21, 2020",197,114,99.12% (113),0% (0),2,50% (1),0% (0),Available (can require)
357,WeedStarTHC,Rank 2,Verification Level 5,"Aug 27, 2020",186,66,95.45% (63),3.03% (2),7,28.57% (2),28.57% (2),Available (only optional)
358,WhiteDoc,Rank 0,Verification Level 2,"Jan 20, 2021",1,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
359,WhiteList,Rank 0,Verification Level 3,"Aug 28, 2020",7,7,71.43% (5),28.57% (2),0,0% (0),0% (0),Not Available
360,WhiteRepublic,Rank 1,Verification Level 5,"Sep 11, 2020",46,14,100% (14),0% (0),0,0% (0),0% (0),Not Available
361,WizardofOZs,Rank 0,Verification Level 10,"Apr 4, 2020",6,5,100% (5),0% (0),0,0% (0),0% (0),Not Available
362,WizzardOfOzz,Rank 5,Verification Level 9,"Aug 16, 2020",582,300,97.67% (293),1% (3),8,0% (0),25% (2),Available (only optional)
363,Worldtime,Rank 0,,"Mar 3, 2021",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
364,XANAXDIRECT,Rank 1,Verification Level 2,"Oct 19, 2020",199,57,91.23% (52),8.77% (5),2,50% (1),150% (3),Not Available
365,XBQFGX,Rank 0,,"Feb 7, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
366,XXXBlackPantherXXX,Rank 0,,"Feb 3, 2021",4,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
367,XXXXTentacion,Rank 7,Verification Level 3,"Mar 7, 2020",699,203,71.43% (145),21.67% (44),34,20.59% (7),8.82% (3),Not Available
368,XanaxBlotters,Rank 0,Verification Level 6,"Sep 8, 2020",7,3,100% (3),0% (0),0,0% (0),0% (0),Available (only optional)
369,XanaxInternational,Rank 1,,"Nov 9, 2020",120,42,100% (42),0% (0),9,0% (0),44.44% (4),Not Available
370,Xanos,Rank 1,,"Oct 1, 2020",36,16,75% (12),12.50% (2),1,0% (0),200% (2),Not Available
371,actioneu,Rank 0,Verification Level 1,"Dec 1, 2020",2,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
372,akgeneric,Rank 1,,"Dec 22, 2020",38,8,100% (8),0% (0),1,0% (0),0% (0),Not Available
373,alex19920512,Rank 0,Verification Level 3,"Feb 8, 2021",11,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
374,alfa,Rank 1,Verification Level 7,"Mar 6, 2020",164,45,88.89% (40),8.89% (4),5,0% (0),60% (3),Not Available
375,alibaba,Rank 0,,"May 5, 2020",4,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
376,aliexpresss,Rank 1,,"Dec 24, 2020",33,24,100% (24),0% (0),1,0% (0),0% (0),Not Available
377,allstarbuds,Rank 0,Verification Level 1,"Nov 18, 2020",9,6,100% (6),0% (0),0,0% (0),0% (0),Not Available
378,alphaking,Rank 0,,"Feb 2, 2021",6,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
379,amazondrugs,Rank 0,,"Feb 14, 2021",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
380,americansteroids,Rank 3,Verification Level 11,"Dec 10, 2020",401,140,100% (140),0% (0),0,0% (0),0% (0),Available (only optional)
381,amsterdamxpress,Rank 1,,"Oct 13, 2020",15,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
382,arctic,Rank 0,,"Feb 18, 2021",2,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
383,ash_williams,Rank 1,Verification Level 11,"Mar 30, 2020",48,18,100% (18),0% (0),1,0% (0),0% (0),Not Available
384,assortmentking,Rank 0,Verification Level 3,"Jul 31, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
385,auspride,Rank 9,Verification Level 8,"Aug 25, 2020",981,446,97.76% (436),1.12% (5),9,11.11% (1),0% (0),Available (can require)
386,aussieimportpills,Rank 1,Verification Level 10,"Jan 17, 2021",24,6,100% (6),0% (0),0,0% (0),0% (0),Available (only optional)
387,bagsandboxes,Rank 2,Verification Level 3,"Aug 25, 2020",128,66,96.97% (64),3.03% (2),1,0% (0),0% (0),Available (only optional)
388,barcodecom,Rank 1,,"Aug 21, 2020",47,11,100% (11),0% (0),1,0% (0),200% (2),Not Available
389,benisupplies,Rank 1,,"Nov 17, 2020",66,28,82.14% (23),3.57% (1),3,0% (0),33.33% (1),Not Available
390,bestgroup,Rank 1,Verification Level 7,"Mar 20, 2020",52,11,54.55% (6),27.27% (3),1,0% (0),0% (0),Not Available
391,bigbumpz,Rank 0,Verification Level 1,"Jan 18, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
392,bighorndodge,Rank 5,Verification Level 2,"Nov 4, 2020",566,356,99.44% (354),0.56% (2),7,14.29% (1),0% (0),Not Available
393,bionik,Rank 0,Verification Level 9,"Jan 30, 2021",10,5,100% (5),0% (0),0,0% (0),0% (0),Available (only optional)
394,bioweedit,Rank 1,,"Dec 23, 2020",80,45,100% (45),0% (0),0,0% (0),0% (0),Not Available
395,blackshazza69,Rank 1,,"Oct 20, 2020",98,63,95.24% (60),4.76% (3),3,33.33% (1),33.33% (1),Not Available
396,blackship,Rank 2,Verification Level 2,"Dec 10, 2020",182,94,100% (94),0% (0),1,0% (0),0% (0),Not Available
397,blond4263M,Rank 0,,"Dec 31, 2020",11,6,100% (6),0% (0),0,0% (0),0% (0),Not Available
398,blueviking,Rank 0,Verification Level 11,"Aug 28, 2020",4,0,0% (0),0% (0),0,0% (0),0% (0),Available (only optional)
399,boomshankar,Rank 1,Verification Level 4,"Mar 4, 2020",110,26,84.62% (22),3.85% (1),4,25% (1),25% (1),Not Available
400,bulkbarn,Rank 0,,"Dec 20, 2020",24,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
401,bulkbars,Rank 2,Verification Level 1,"Dec 23, 2020",196,70,95.71% (67),2.86% (2),8,12.50% (1),25% (2),Not Available
402,cadillacblack,Rank 1,Verification Level 2,"Jan 27, 2021",35,11,81.82% (9),9.09% (1),3,0% (0),66.67% (2),Not Available
403,cannabisportal,Rank 1,,"Oct 23, 2020",24,22,100% (22),0% (0),0,0% (0),0% (0),Not Available
404,cannacabana,Rank 0,,"Jan 31, 2021",8,6,100% (6),0% (0),0,0% (0),0% (0),Not Available
405,cannacaviar,Rank 0,Verification Level 2,"Oct 14, 2020",9,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
406,cannachef123,Rank 1,,"Oct 16, 2020",18,11,100% (11),0% (0),0,0% (0),0% (0),Not Available
407,cannaland,Rank 1,,"Nov 11, 2020",19,7,85.71% (6),14.29% (1),1,0% (0),100% (1),Not Available
408,capNcook,Rank 0,,"Dec 23, 2020",2,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
409,caut2tuff,Rank 3,,"Oct 5, 2020",344,225,99.11% (223),0.44% (1),3,33.33% (1),0% (0),Not Available
410,cb2020,Rank 0,Verification Level 8,"Oct 24, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Available (only optional)
411,cerberusuk,Rank 0,Verification Level 6,"May 6, 2020",40,4,100% (4),0% (0),0,0% (0),0% (0),Available (only optional)
412,charching187,Rank 1,Verification Level 3,"Mar 22, 2020",20,11,90.91% (10),0% (0),0,0% (0),0% (0),Not Available
413,chemicalprincess,Rank 0,,"Dec 8, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
414,cleanbudsnow,Rank 1,Verification Level 5,"Nov 10, 2020",32,26,100% (26),0% (0),0,0% (0),0% (0),Not Available
415,clumsysmurf,Rank 1,Verification Level 1,"Aug 28, 2020",28,18,100% (18),0% (0),0,0% (0),0% (0),Not Available
416,cmoney345,Rank 1,Verification Level 4,"Mar 2, 2020",97,42,66.67% (28),23.81% (10),7,42.86% (3),0% (0),Not Available
417,cocakiwi,Rank 1,,"Jan 11, 2021",65,31,96.77% (30),0% (0),2,0% (0),0% (0),Not Available
418,cokespecialist,Rank 2,Verification Level 5,"Sep 13, 2020",284,73,89.04% (65),8.22% (6),10,10% (1),50% (5),Available (only optional)
419,colombiaconnection,Rank 2,Verification Level 13,"Oct 19, 2020",177,78,89.74% (70),10.26% (8),25,32% (8),16% (4),Available (can require)
420,colombiandrugz,Rank 1,,"Jan 19, 2021",31,16,100% (16),0% (0),1,0% (0),0% (0),Not Available
421,craftcannabisco,Rank 1,,"Dec 16, 2020",19,9,100% (9),0% (0),0,0% (0),0% (0),Not Available
422,crystalmagik,Rank 0,Verification Level 3,"Jan 13, 2021",2,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
423,danielvitor61,Rank 4,Verification Level 3,"Jul 28, 2020",368,142,97.89% (139),2.11% (3),3,33.33% (1),66.67% (2),Not Available
424,dankman,Rank 1,,"Jan 25, 2021",137,64,95.31% (61),3.12% (2),5,0% (0),60% (3),Not Available
